x1,x2,x3,x4,x5,x6,index
3,2,2,7,4,6,42985
0,0,0,0,2,5,34130
0,2,1,4,5,6,17187
2,7,3,4,5,6,30765
2,5,1,3,1,2,29142
3,6,2,7,3,6,5813
1,5,4,1,2,1,41011
0,5,3,2,4,2,46850
2,4,4,7,4,3,33160
0,3,0,1,0,0,47996
2,4,2,4,0,5,54496
2,7,4,8,0,0,57062
0,7,4,2,2,6,28163
3,0,2,1,4,2,23495
1,1,3,3,4,3,42418
1,5,2,6,4,5,51061
2,6,1,6,5,3,3903
0,3,0,2,3,0,24959
3,2,1,4,0,3,51923
2,0,2,4,4,1,26150
2,4,2,2,5,2,28105
0,7,4,1,1,1,56419
0,7,3,8,4,6,48702
0,4,3,1,5,6,44424
0,1,0,1,2,2,35592
1,1,0,4,2,6,4954
2,6,4,6,5,0,34057
1,0,4,6,1,2,37794
0,1,3,1,3,2,45666
1,6,3,6,2,0,37922
1,0,0,2,0,4,26235
2,4,1,3,0,2,37371
1,7,3,6,3,6,41954
0,2,4,2,0,5,45205
1,4,3,8,0,3,51326
2,7,3,0,0,3,43125
3,5,3,0,3,1,48383
2,6,0,7,1,1,26089
3,6,2,3,5,3,48501
2,7,2,3,2,4,40784
1,1,2,8,1,4,53576
1,6,4,3,3,6,58728
3,7,4,7,4,6,35580
2,0,1,6,5,5,2161
2,6,1,3,3,3,6925
2,5,1,1,5,3,52255
0,7,0,6,2,5,36565
0,4,1,0,3,4,4706
2,7,3,8,0,5,27163
3,4,1,6,3,2,9235
3,6,4,6,3,6,41330
0,5,4,4,3,4,36142
0,5,0,2,5,3,60115
0,4,0,3,2,6,51336
0,1,0,7,0,6,50764
2,7,3,6,1,6,38061
1,7,4,4,2,6,52396
2,0,3,4,2,4,38518
0,1,4,3,2,6,18138
2,3,1,6,1,5,33427
3,2,1,3,2,5,53039
1,5,1,6,3,4,51664
0,6,2,8,1,0,1552
3,7,2,2,4,2,16659
0,5,2,3,0,5,43444
0,3,2,3,2,0,22095
3,2,1,3,1,3,50826
1,3,1,3,0,1,14057
2,6,4,0,5,1,51896
3,4,1,2,5,2,768
2,6,4,5,5,4,56458
2,5,3,4,3,4,32153
3,0,1,2,3,0,5300
3,5,4,3,5,3,2851
0,4,0,8,2,1,41985
0,6,3,0,1,5,28888
1,3,1,5,2,0,7874
2,7,2,6,5,3,20421
3,0,3,5,2,6,16277
3,5,0,7,1,4,34273
3,5,4,3,0,5,16986
2,6,1,0,3,2,14343
2,3,3,4,5,4,28665
3,4,4,3,3,1,7258
3,5,3,5,2,3,53663
1,4,4,3,2,2,32115
3,6,4,2,4,2,23566
2,3,2,1,2,1,26274
3,1,2,4,4,3,10533
1,0,3,4,2,5,37148
2,5,3,1,4,2,40237
0,7,2,7,4,1,46692
0,0,2,2,5,1,8062
3,4,1,6,5,1,706
0,4,3,2,0,5,12436
0,7,0,1,2,2,17213
3,0,4,2,5,6,8559
0,1,2,5,2,2,15299
3,1,3,4,0,3,46769
0,2,2,1,5,4,35234
2,5,1,5,3,5,21874
1,5,2,6,2,1,19387
1,3,0,1,4,1,24741
0,3,1,2,0,3,6813
3,6,0,0,5,4,4000
3,1,4,1,3,2,16614
2,0,1,5,1,5,26140
1,0,2,8,3,6,7121
0,3,2,1,1,1,9411
3,1,1,2,4,0,35317
0,5,3,2,0,3,52787
3,0,4,0,5,2,57416
0,2,2,0,1,3,20321
2,3,1,8,1,3,4314
2,6,4,1,2,0,18049
0,4,2,4,0,0,36027
2,0,4,7,0,6,20925
3,5,4,2,4,2,26434
3,1,4,6,1,6,57129
3,2,0,8,4,2,24539
2,1,1,1,0,6,51452
1,6,4,1,3,0,6026
0,3,3,4,5,3,53365
1,3,2,5,1,6,21981
0,1,0,4,1,2,22846
0,6,1,4,4,3,56290
3,0,4,5,0,6,42406
1,7,0,0,3,2,39579
0,2,2,7,0,6,35617
0,6,2,6,0,0,48821
1,7,3,8,1,5,32686
3,6,2,1,1,1,19880
3,4,3,5,1,5,40499
1,1,2,0,2,0,50394
1,4,2,4,1,5,20306
3,2,0,7,3,0,12571
1,5,3,3,2,1,3684
3,3,0,7,3,5,20135
0,7,2,4,2,5,29398
3,3,1,5,0,5,18961
2,0,3,0,4,1,50986
1,4,2,5,4,3,25999
3,4,4,5,4,2,29613
3,7,1,3,3,0,1719
1,0,1,0,3,6,43857
1,6,1,6,3,6,32850
0,0,1,0,4,1,38085
3,5,2,7,1,3,10448
0,1,2,2,2,4,26635
0,2,4,1,2,5,3899
1,7,2,2,0,4,51657
1,3,0,3,0,3,2211
2,6,2,6,5,5,7
2,3,0,5,0,5,30635
2,4,0,6,3,3,33934
2,6,3,2,2,1,12439
1,3,2,8,2,2,48645
0,0,4,5,2,5,28714
1,7,0,0,5,0,40234
2,5,4,0,5,3,34674
3,1,0,6,1,6,12319
1,0,2,8,4,6,28283
3,7,2,2,5,0,6445
3,5,1,8,1,2,22405
2,6,1,0,3,0,17936
3,7,2,0,4,1,3327
2,2,3,0,1,4,21384
2,3,0,6,0,0,5880
3,5,3,8,0,2,41537
2,6,2,8,4,5,36280
1,1,3,8,0,2,13518
3,2,4,4,0,3,58170
1,7,1,0,5,1,43147
3,2,1,2,4,1,42627
0,2,0,6,3,2,9129
3,4,2,3,5,4,47809
2,6,0,6,3,2,30879
0,5,3,5,2,2,42774
2,5,2,1,1,3,54905
2,3,2,7,1,0,43565
0,2,1,0,3,1,55533
3,6,1,6,2,4,27552
0,0,3,4,4,3,36763
1,5,1,6,1,5,40010
3,0,0,0,5,3,16450
0,0,1,7,1,6,21322
0,4,3,2,3,1,50786
2,2,4,0,4,3,10785
3,7,1,2,5,3,28874
2,4,3,8,3,6,8361
2,5,4,5,4,3,25294
1,3,0,6,0,3,4693
1,2,2,5,0,3,58086
2,0,2,8,0,4,40644
3,0,0,1,5,4,40322
1,7,4,4,1,2,28941
3,7,3,6,3,0,53172
3,3,4,1,4,1,25652
2,1,0,6,1,3,27677
1,6,4,0,2,1,2397
1,3,3,5,5,5,29082
1,0,1,2,4,2,55033
1,0,0,6,0,4,43128
3,1,3,5,1,0,53106
1,3,0,2,4,1,50709
0,6,1,7,2,1,30214
1,1,3,2,0,5,45321
0,1,2,2,4,0,23005
0,4,1,3,2,0,8689
3,4,4,5,0,3,60373
2,1,0,2,4,0,10390
3,3,1,2,3,5,39420
1,4,0,4,2,6,46445
2,7,2,5,3,0,5735
1,7,0,3,0,2,46468
1,0,1,5,0,0,43332
2,7,2,1,1,3,5350
1,0,2,2,2,0,6061
2,5,2,0,2,1,35079
0,1,2,1,2,4,50347
1,2,3,2,4,4,14751
2,4,4,3,5,3,18892
0,2,0,8,2,4,57274
3,6,0,0,5,6,11413
3,6,4,8,2,2,23278
3,2,0,3,1,1,22534
2,6,1,7,1,5,47384
3,3,3,2,0,2,29842
0,7,3,2,2,0,44068
1,3,4,2,1,0,21429
2,1,1,8,2,1,7238
